Pais,Año 2023,Porcentaje
Brasil,11854864083,15.69%
UE,6848281088,14.54%
USA,5581995106,7.39%
China,5265798661,6.97%
Chile,4945301502,6.55%
Peru,2538781169,3.36%
Medio Oriente,2531516806,3.35%
Resto Mundo,31836330508,42.14%
